symbol,year,layer,field,vlm_value,ref_value,detail,resolution
AEL,2017,L2,total_liabilities,51933.947,51933947.0,prior-year overlap,
AEL,2018,L2,cash,1181.259,1181259.0,prior-year overlap,
AEL,2018,L2,net_income,-19146.112,-19146112.0,prior-year overlap,
AEL,2018,L2,revenue,227473.076,227473076.0,prior-year overlap,
AEL,2018,L2,total_equity,139312.469,139312469.0,prior-year overlap,
AEL,2018,L2,total_liabilities,54382.278,54382278.0,prior-year overlap,
AEL,2018,L5,current_liabilities,50544583,103669740.0,VLM vs parser,
AEL,2019,L2,cash,327.911,327911.0,prior-year overlap,
AEL,2019,L2,net_income,-15683.529,-15683529.0,prior-year overlap,
AEL,2019,L2,total_equity,124256.564,124256564.0,prior-year overlap,
AEL,2019,L2,total_liabilities,66058.518,66058518.0,prior-year overlap,
AEL,2019,L3,Sales,6252.057,227473.076,YoY x0.0,
AEL,2020,L2,cash,520.653,520653.0,prior-year overlap,
AEL,2020,L2,net_income,-25859.211,-25859211.0,prior-year overlap,
AEL,2020,L2,total_equity,97250.79,97250790.0,prior-year overlap,
AEL,2020,L2,total_liabilities,77477.043,77477043.0,prior-year overlap,
AEL,2022,L3,Sales,2927.129,2927.129,exact repeat,
AEL,2023,L3,Sales,32149.504,2927.129,YoY x11.0,
AGIC,2015,L2,net_income,104032,198508.0,prior-year overlap,
AGIC,2020,L2,total_liabilities,3686321,3590433.0,prior-year overlap,
AGIC,2021,L1,TA=TL+Eq,6287100,6184178,,
AGIC,2022,L1,Sales-COGS=GP,941569,186438,,
AGIC,2022,L1,TA=TL+Eq,7004209,6885290,,
AGIC,2023,L1,TA=TL+Eq,8283190,8129984,,
AGIC,2024,L2,total_liabilities,5256820,6572577.0,prior-year overlap,
AGIL,2025,L5,current_assets,4031164,-490951.0,VLM vs parser,
AGIL,2025,L5,current_liabilities,2558624,2607629.0,VLM vs parser,
AGL,2017,L2,net_income,-4308414.92,-4483682.616,prior-year overlap,
AGL,2017,L3,Eq,-72561.774,,negative equity,
AGL,2022,L5,current_assets,8905564417,9009764418.0,VLM vs parser,
AGL,2025,L1,Sales-COGS=GP,6042000,6042753445,,
AGP,2019,L5,current_liabilities,1350736,1525800.0,VLM vs parser,
AGP,2019,L5,revenue,6253239,2019.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
AGP,2025,L1,Sales-COGS=GP,9158726,9999418,,
AGSML,2019,L5,current_assets,329753761,8969453515.0,VLM vs parser,
AGSML,2019,L5,current_liabilities,3162514389,13261118295.0,VLM vs parser,
AGSML,2022,L3,Eq,-173320.67,146205.615,YoY x-1.2,
AGSML,2022,L3,Eq,-173320.67,,negative equity,
AGSML,2023,L3,Eq,-456372.47,,negative equity,
AGSML,2024,L3,Eq,-645542.972,,negative equity,
AGSML,2025,L3,Eq,-956229.483,,negative equity,
AGTL,2022,L2,net_income,2156044,158098.0,prior-year overlap,
AGTL,2023,L5,current_assets,12442536,11528610.0,VLM vs parser,
AGTL,2023,L5,net_income,2611772,149572.0,VLM vs parser,
AHCL,2013,L2,cash,97200.299,103669.829,prior-year overlap,
AHCL,2018,L5,current_assets,11470614010,11653687320.0,VLM vs parser,
AHCL,2025,L5,current_liabilities,2648028020,3448028020.0,VLM vs parser,
AHL,2013,L2.5,net_income,382469463.0,382.0,summary-vs-audited,
AHL,2013,L2.5,total_assets,3616899486,3617.0,summary-vs-audited,
AHL,2013,L2.5,total_liabilities,2273483688,2273.0,summary-vs-audited,
AHL,2013,L5,current_assets,2997102919,3526637039.0,VLM vs parser,
AHL,2015,L2.5,total_assets,4034683369.0,4034.0,summary-vs-audited,
AHL,2016,L2.5,total_assets,5563341902,5563.0,summary-vs-audited,
AHL,2018,L2.5,net_income,536256096.0,536.0,summary-vs-audited,
AHL,2018,L2.5,total_liabilities,2286051538,2286.0,summary-vs-audited,
AHL,2019,L2.5,total_assets,5642456863.0,5642.0,summary-vs-audited,
AHL,2022,L2.5,total_assets,8985828345,8986.0,summary-vs-audited,
AHL,2023,L2.5,net_income,184672102.0,185.0,summary-vs-audited,
AHL,2023,L2.5,total_assets,7785230947,7785.0,summary-vs-audited,
AHL,2023,L2.5,total_equity,4994252286,4994.0,summary-vs-audited,
AHL,2023,L2.5,total_liabilities,2790978661,2791.0,summary-vs-audited,
AHL,2023,L5,current_liabilities,2720910775,2812291918.0,VLM vs parser,
AHL,2024,L5,current_assets,5395129382,5472321890.0,VLM vs parser,
AHL,2025,L5,current_liabilities,5225857850,5424579056.0,VLM vs parser,
AHTM,2017,L1,TA=TL+Eq,4314902179,4209902179,,
AHTM,2017,L5,cash,5029403,19477569.0,VLM vs parser,
AHTM,2018,L3,Sales,5179001.252,5179001.252,exact repeat,
AHTM,2018,L3,TA,4314902.179,4314902.179,exact repeat,
AICL,2019,L2,cash,526553,1176685.0,prior-year overlap,
AICL,2019,L2,total_assets,1616879,49538262.0,prior-year overlap,
AICL,2019,L2,total_equity,458165,21380492.0,prior-year overlap,
AICL,2019,L3,Eq,458165,19663358.0,YoY x0.0,
AICL,2019,L3,TA,1616879,47845094.0,YoY x0.0,
AICL,2019,L5,cash,526553,1176685.0,VLM vs parser,
AICL,2019,L5,total_assets,1616879,49538262.0,VLM vs parser,
AICL,2019,L5,total_equity,458165,21380492.0,VLM vs parser,
AICL,2020,L3,Eq,22234859.0,458165,YoY x48.5,
AICL,2020,L3,TA,49520149.0,1616879,YoY x30.6,
AKBL,2018,L2,net_income,4431278,5043000.0,prior-year overlap,
AKBL,2018,L2,total_assets,706532042,535867000.0,prior-year overlap,
AKBL,2018,L2,total_liabilities,673023135,509014000.0,prior-year overlap,
AKBL,2018,L5,total_assets,706532042,394827.0,VLM vs parser,
AKBL,2018,L5,total_liabilities,673023135,376099.0,VLM vs parser,
AKBL,2019,L2,total_assets,706666079,833208000.0,prior-year overlap,
AKBL,2019,L5,net_income,7017022,4015.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
AKBL,2019,L5,total_assets,706666079,447083.0,VLM vs parser,
AKBL,2019,L5,total_liabilities,673617718,423375.0,VLM vs parser,
AKBL,2020,L5,net_income,10800375,10800.0,VLM vs parser,
AKBL,2020,L5,total_assets,992517062,992517.0,VLM vs parser,
AKBL,2021,L3,Sales,41779371000.0,39956618,YoY x1045.6,
AKBL,2021,L5,net_income,9701386,9701.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
AKBL,2022,L2,net_income,14061595,14062.0,prior-year overlap,
AKBL,2022,L3,Sales,51581558,41779371000.0,YoY x0.0,
AKBL,2022,L3,TA,1526134.0,1259144000.0,YoY x0.0,
AKBL,2022,L5,net_income,14061595,14062.0,VLM vs parser,
AKBL,2023,L5,net_income,21434659,21435.0,VLM vs parser,
AKBL,2024,L2,net_income,21256555,21023000.0,prior-year overlap,
AKBL,2024,L3,TA,2501381696,2124006.0,YoY x1177.7,
AKBL,2024,L5,net_income,21256555,21023.0,VLM vs parser,
AKBL,2024,L5,total_assets,2501381696,2498374.0,VLM vs parser,
AKBL,2025,L1,TA=TL+Eq,2895001568,2865665747,,
AKBL,2025,L5,net_income,22860812,22803.0,VLM vs parser,
AKBL,2025,L5,total_assets,2895001568,2895002.0,VLM vs parser,
AKDCL,2017,L2,total_assets,46261.0,46261000.0,prior-year overlap,
AKDCL,2017,L2,total_equity,41035.615,41035615.0,prior-year overlap,
AKDCL,2017,L2,total_liabilities,5225.385,5225385.0,prior-year overlap,
AKDCL,2018,L2,net_income,1202.232,1202232.0,prior-year overlap,
AKDCL,2018,L2,total_assets,43375.219,43375219.0,prior-year overlap,
AKDCL,2018,L2,total_equity,39498.91,39498910.0,prior-year overlap,
AKDCL,2018,L2,total_liabilities,3876.309,3876309.0,prior-year overlap,
AKDCL,2019,L2,net_income,-3247.264,-3247264.0,prior-year overlap,
AKDCL,2019,L2,total_assets,39523.099,39523099.0,prior-year overlap,
AKDCL,2019,L2,total_equity,34044.29,34044290.0,prior-year overlap,
AKDCL,2019,L2,total_liabilities,5478.809,5478809.0,prior-year overlap,
AKDCL,2019,L5,current_assets,11002126,38782926.0,VLM vs parser,
AKGL,2022,L3,Eq,1770.587,251615.042,YoY x0.0,
AKGL,2022,L3,TA,2745.008,573491.394,YoY x0.0,
AKGL,2023,L3,TA,49791.709,2745.008,YoY x18.1,
AKGL,2024,L3,TA,681490.082,49791.709,YoY x13.7,
AKZO,2019,L1,Sales-COGS=GP,4913362,2032757,,
ALAC,2013,L2,total_liabilities,341531649,59812284.0,prior-year overlap,
ALAC,2016,L3,Sales,16814.529,11706836,YoY x0.0,
ALAC,2017,L1,TA=TL+Eq,526729057,426729057,,
ALAC,2019,L3,Sales,219535,43849,YoY x5.0,
ALTN,2019,L5,current_liabilities,304685,543374.0,VLM vs parser,
AMBL,2021,L3,Eq,442378.606,2259247.957,YoY x0.2,
AMBL,2021,L3,Sales,-474043.018,2135774.119,YoY x-0.2,
AMBL,2022,L3,Eq,-4046985.297,442378.606,YoY x-9.1,
AMBL,2022,L3,Eq,-4046985.297,,negative equity,
AMBL,2023,L3,Eq,-6640802.055,,negative equity,
AMBL,2024,L3,Eq,-9432704.486,,negative equity,
AMBL,2025,L3,Eq,-10509232.599,,negative equity,
AMTEX,2017,L2.5,total_assets,4782507896,4783.0,summary-vs-audited,
AMTEX,2017,L3,Eq,-8090980.353,,negative equity,
AMTEX,2018,L2.5,total_assets,4782507896,4783.0,summary-vs-audited,
AMTEX,2018,L3,Eq,-8090980.353,,negative equity,
AMTEX,2018,L3,Sales,842865.636,842865.636,exact repeat,
AMTEX,2018,L3,TA,4782507.896,4782507.896,exact repeat,
AMTEX,2019,L2.5,total_assets,4377868539,4378.0,summary-vs-audited,
AMTEX,2019,L3,Eq,-8352955.364,,negative equity,
AMTEX,2020,L2.5,total_assets,3724161755,3724.0,summary-vs-audited,
AMTEX,2020,L3,Eq,-9050123.762,,negative equity,
AMTEX,2021,L2.5,total_assets,3576906288,3577.0,summary-vs-audited,
AMTEX,2021,L3,Eq,-9198070.997,,negative equity,
AMTEX,2021,L5,current_assets,1356749943,1135674943.0,VLM vs parser,
AMTEX,2022,L2.5,total_assets,3661173460,3661.0,summary-vs-audited,
AMTEX,2022,L3,Eq,-9092884.009,,negative equity,
AMTEX,2023,L2.5,total_assets,3310020306,3310.0,summary-vs-audited,
AMTEX,2023,L3,Eq,-8633526.52,,negative equity,
AMTEX,2024,L2,total_equity,-8544192.042,-8456773.612,prior-year overlap,
AMTEX,2024,L2.5,total_assets,3684605734,3685.0,summary-vs-audited,
AMTEX,2024,L3,Eq,-8544192.042,,negative equity,
AMTEX,2025,L2.5,total_assets,3540084190,3540.0,summary-vs-audited,
AMTEX,2025,L3,Eq,-8584816.531,,negative equity,
ANL,2015,L3,Eq,728718.429,3955392.089,YoY x0.2,
ANL,2020,L5,current_assets,9497578645,12676675014.0,VLM vs parser,
ANL,2021,L3,Eq,7994677.029,1119972.119,YoY x7.1,
ANL,2021,L5,current_assets,11080867050,12344867099.0,VLM vs parser,
ANSM,2015,L2,net_income,293182.273,278553.344,prior-year overlap,
APL,2017,L2,revenue,138660665,172081286.0,prior-year overlap,
ARM,2020,L5,current_assets,2253685342,2254.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
ARM,2023,L5,current_liabilities,1581130958,1682878652.0,VLM vs parser,
ARPAK,2015,L2,net_income,6086.467,11650769.0,prior-year overlap,
ARPAK,2018,L1,TA=TL+Eq,18537390,17730470,,
ARPAK,2018,L3,Eq,4433999,300649.101,YoY x14.7,
ARPAK,2018,L3,TA,18537390,306560.054,YoY x60.5,
ARPAK,2019,L3,Eq,584741.719,4433999,YoY x0.1,
ARPAK,2019,L3,TA,591404.415,18537390,YoY x0.0,
ARPAK,2020,L1,TA=TL+Eq,21719117,18507896,,
ARPAK,2020,L3,Eq,4232550,584741.719,YoY x7.2,
ARPAK,2020,L3,TA,21719117,591404.415,YoY x36.7,
ARPAK,2021,L3,Eq,299518.85,4232550,YoY x0.1,
ARPAK,2021,L3,TA,304059.765,21719117,YoY x0.0,
ARPAK,2025,L1,TA=TL+Eq,52998647,45175373,,
ARPAK,2025,L3,Eq,6449156,339316.457,YoY x19.0,
ARPAK,2025,L3,TA,52998647,352079.493,YoY x150.5,
ARPL,2014,L2,revenue,6872277,7622868.0,prior-year overlap,
ARPL,2014,L5,current_assets,5679159,5888389.0,VLM vs parser,
ARPL,2014,L5,revenue,6872277,7622868.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ARPL,2015,L2,net_income,1053303,1241982.0,prior-year overlap,
ARPL,2015,L2,revenue,8475323,9805929.0,prior-year overlap,
ARPL,2015,L5,current_liabilities,3520725,3567877.0,VLM vs parser,
ARPL,2015,L5,revenue,8475323,9440404.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ARPL,2016,L2,revenue,11350227,12473706.0,prior-year overlap,
ARPL,2016,L5,revenue,11350227,12473706.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ARPL,2017,L5,revenue,12242715,13226370.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ARPL,2021,L2,revenue,19872237,23561070.0,prior-year overlap,
ARPL,2022,L2,revenue,25154026,29430119.0,prior-year overlap,
ARPL,2022,L5,current_assets,10428314,11029314.0,VLM vs parser,
ARPL,2022,L5,revenue,25154026,29430119.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ARPL,2024,L2,revenue,24773123,28533396.0,prior-year overlap,
ARPL,2024,L5,current_liabilities,10065048,10784992.0,VLM vs parser,
ARPL,2024,L5,revenue,24773123,28533396.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ARPL,2025,L5,revenue,27406657,32183597.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ARUJ,2019,L3,TA,1328872.074,1217874868.0,YoY x0.0,
ARUJ,2025,L3,Sales,191.8,358277.91,YoY x0.0,
ASL,2020,L5,current_liabilities,16944,16944208.0,VLM vs parser,
ASL,2021,L2.5,revenue,55116371,379622.0,summary-vs-audited,
ASL,2021,L5,current_assets,16572232,34369160.0,VLM vs parser,
ASL,2023,L5,current_liabilities,18615885,18978488.0,VLM vs parser,
ASL,2024,L2,revenue,42749652,164732.0,prior-year overlap,
ASL,2025,L5,current_liabilities,17727964,40781.0,VLM vs parser,
ASL,2025,L5,revenue,33751703,148971.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ASTL,2022,L5,current_assets,21665662,21940609.0,VLM vs parser,
ASTL,2023,L2,net_income,-678443,-697196.0,prior-year overlap,
ASTL,2024,L5,current_assets,16182367,16605537.0,VLM vs parser,
ASTM,2023,L3,Sales,354678.335,2080169.476,YoY x0.2,
ASTM,2024,L3,Sales,1812689.595,354678.335,YoY x5.1,
ATBA,2014,L1,TA=TL+Eq,5326994,5153208,,
ATBA,2015,L1,TA=TL+Eq,5398115,5204229,,
ATBA,2018,L5,current_liabilities,4157721,4222991.0,VLM vs parser,
ATBA,2024,L5,current_liabilities,13255941,13477803.0,VLM vs parser,
ATBA,2025,L5,current_assets,13738930,13270650.0,VLM vs parser,
ATBA,2025,L5,current_liabilities,8925417,3526232.0,VLM vs parser,
ATIL,2016,L2,total_assets,126870,4277603.0,prior-year overlap,
ATIL,2016,L3,TA,126870,3797014,YoY x0.0,
ATIL,2016,L5,total_assets,126870,4277603.0,VLM vs parser,
ATIL,2017,L3,TA,4204207.0,126870,YoY x33.1,
ATLH,2022,L5,current_liabilities,2522562,25225620.0,VLM vs parser,
ATRL,2016,L2,revenue,66564924,95960398.0,prior-year overlap,
ATRL,2016,L5,revenue,66564924,95960398.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ATRL,2018,L2,revenue,129596565,179430555.0,prior-year overlap,
ATRL,2018,L5,revenue,129596565,179430555.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ATRL,2019,L2,revenue,176754542,231311790.0,prior-year overlap,
ATRL,2019,L5,current_assets,54888328,55874174.0,VLM vs parser,
ATRL,2019,L5,revenue,176754542,231311790.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ATRL,2020,L2,revenue,119819440,174319185.0,prior-year overlap,
ATRL,2020,L5,revenue,119819440,174319185.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ATRL,2021,L2,revenue,127730407,192255944.0,prior-year overlap,
ATRL,2021,L5,revenue,127730407,192255944.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ATRL,2022,L2,revenue,261983815,305396404.0,prior-year overlap,
ATRL,2022,L5,revenue,261983815,305396404.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ATRL,2023,L2,revenue,369221549,461127938.0,prior-year overlap,
ATRL,2023,L5,revenue,369221549,461127938.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ATRL,2024,L2,revenue,382916673,505290575.0,prior-year overlap,
ATRL,2024,L5,revenue,382916673,505290575.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
ATRL,2025,L5,revenue,301329807,416943236.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
AVN,2016,L2,cash,115818,15881.0,prior-year overlap,
AVN,2016,L5,cash,115818,116.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
AVN,2016,L5,current_assets,2453692,2454.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
AVN,2016,L5,current_liabilities,983818,1022.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
AWWAL,2016,L2,total_assets,1043051.075,1043051075.0,prior-year overlap,
AWWAL,2016,L2,total_liabilities,14608.204,14608204.0,prior-year overlap,
AWWAL,2018,L3,Sales,263.315,0.208,YoY x1265.9,
AWWAL,2020,L2,total_assets,1243691.234,1243691234.0,prior-year overlap,
BAFL,2015,L5,net_income,7522810,7523.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
BAFL,2016,L1,TA=TL+Eq,760053,61150531,,
BAFL,2016,L5,net_income,7899908,7900.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
BAFL,2016,L5,total_assets,760053,917457.0,VLM vs parser,
BAFL,2017,L3,TA,991027423,760053,YoY x1303.9,
BAFL,2017,L5,net_income,8613804,8367.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
BAFL,2018,L2,total_assets,147094131,1006218000.0,prior-year overlap,
BAFL,2018,L3,Eq,12319577,66830381,YoY x0.2,
BAFL,2018,L3,TA,147094131,991027423,YoY x0.1,
BAFL,2019,L2,net_income,13031807000.0,12696.0,prior-year overlap,
BAFL,2019,L3,Sales,55924407000.0,41791413,YoY x1338.2,
BAFL,2019,L3,TA,1064672000.0,147094131,YoY x7.2,
BAFL,2019,L5,net_income,13031807,12695.0,VLM vs parser,
BAFL,2020,L2,total_assets,1847241437,1384000.0,prior-year overlap,
BAFL,2020,L3,Sales,57499436,55924407000.0,YoY x0.0,
BAFL,2020,L5,net_income,10474910,10475.0,VLM vs parser,
BAFL,2020,L5,total_assets,1847241437,1384.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
BAFL,2022,L3,TA,2253197.0,1734321000.0,YoY x0.0,
BAFL,2022,L5,net_income,18206445,18206.0,VLM vs parser,
BAFL,2023,L2,total_assets,2253196728,3345917000.0,prior-year overlap,
BAFL,2023,L3,TA,2253196728,2253197.0,YoY x1000.0,
BAFL,2024,L5,net_income,38318131,38318.0,VLM vs parser,
BAFL,2024,L5,total_assets,3710206121,3710206.0,VLM vs parser,
BAFL,2025,L5,net_income,28337057,28337.0,VLM vs parser,
BAFL,2025,L5,total_assets,3829927120,3829927.0,VLM vs parser,
BAFS,2019,L3,Sales,121607.382,1381820,YoY x0.1,
BAFS,2020,L3,Sales,1783548.117,121607.382,YoY x14.7,
BAFS,2021,L5,current_assets,536023,536023507.0,VLM vs parser,
BAHL,2022,L3,Sales,12360332,69635732,YoY x0.2,
BAHL,2023,L2,total_assets,4020466350,2744072409.0,prior-year overlap,
BAHL,2023,L2,total_liabilities,3892739652,2614413320.0,prior-year overlap,
BAPL,2014,L5,current_assets,20993362,25591067.0,VLM vs parser,
BAPL,2023,L5,current_assets,93267707,218003248.0,VLM vs parser,
BAPL,2023,L5,current_liabilities,46663045,86663045.0,VLM vs parser,
BAPL,2024,L5,current_liabilities,6517965,7183068.0,VLM vs parser,
BAPL,2025,L3,TA,3184835.799,31312.44,YoY x101.7,
BATA,2018,L5,current_assets,8970446,9521455.0,VLM vs parser,
BCL,2014,L5,current_liabilities,563652,581116.0,VLM vs parser,
BCL,2020,L5,current_assets,56102053,561020531.0,VLM vs parser,
BCL,2023,L5,current_liabilities,701011915,729065285.0,VLM vs parser,
BCML,2018,L2,net_income,-138936,-84439.0,prior-year overlap,
BECO,2021,L3,Eq,-4587159,,negative equity,
BECO,2022,L3,Sales,6310320.105,230770190,YoY x0.0,
BECO,2025,L5,total_liabilities,44399,4439972911.0,VLM vs parser,
BERG,2023,L2,net_income,240061,2707373.0,prior-year overlap,
BERG,2024,L5,net_income,262863,4577767.0,VLM vs parser,
BERG,2024,L5,total_liabilities,3707351,7149891.0,VLM vs parser,
BFMOD,2025,L3,TA,145590.838,145590.838,exact repeat,
BGL,2015,L3,Eq,-2418163,,negative equity,
BGL,2023,L3,Sales,186006,1346050,YoY x0.1,
BGL,2024,L3,Eq,-3242030,,negative equity,
BHAT,2015,L5,current_liabilities,497896695,1300109174.0,VLM vs parser,
BHAT,2018,L2,total_assets,645592.824,6645592.824,prior-year overlap,
BHAT,2018,L3,TA,645592.824,5895145.725,YoY x0.1,
BHAT,2018,L5,total_assets,645592824,6645592824.0,VLM vs parser,
BHAT,2019,L3,TA,8405927.87,645592.824,YoY x13.0,
BIFO,2013,L2,cash,16432.63,16432630.0,prior-year overlap,
BIFO,2013,L2,net_income,286261.265,286261265.0,prior-year overlap,
BIFO,2014,L2,cash,13463.914,15755771.0,prior-year overlap,
BIFO,2014,L2,net_income,318641.161,318641161.0,prior-year overlap,
BIFO,2015,L2,cash,34401.396,34401396.0,prior-year overlap,
BIFO,2015,L2,net_income,392541.62,392541620.0,prior-year overlap,
BIFO,2015,L2,ppe,556370.976,556370976.0,prior-year overlap,
BIFO,2016,L2,cash,29908.284,29908284.0,prior-year overlap,
BIFO,2016,L2,net_income,398435.046,398435046.0,prior-year overlap,
BIFO,2016,L5,current_liabilities,507826010,909319710.0,VLM vs parser,
BIFO,2017,L2,cash,28432.88,28432880.0,prior-year overlap,
BIFO,2017,L2,net_income,320578.624,320578624.0,prior-year overlap,
BIFO,2019,L5,current_liabilities,811823037,-800813888.0,VLM vs parser,
BIFO,2024,L5,current_liabilities,503845939,1398783512.0,VLM vs parser,
BILF,2013,L5,current_assets,290650105,290.65,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
BILF,2013,L5,current_liabilities,313164492,313.164,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
BILF,2024,L3,Eq,3312.42,23492.708,YoY x0.1,
BIPL,2018,L5,total_assets,215743256,215743.0,VLM vs parser,
BIPL,2018,L5,total_liabilities,201228441,201228.0,VLM vs parser,
BIPL,2019,L5,total_assets,283096494,283096.0,VLM vs parser,
BIPL,2019,L5,total_liabilities,263400162,263400.0,VLM vs parser,
BIPL,2023,L5,net_income,11045099,11045.0,VLM vs parser,
BIPL,2023,L5,total_assets,654865896,654866.0,VLM vs parser,
BIPL,2024,L5,net_income,11833541,11834.0,VLM vs parser,
BIPL,2024,L5,total_assets,737834025,737834.0,VLM vs parser,
BIPL,2024,L5,total_liabilities,689524749,689525.0,VLM vs parser,
BIPL,2025,L3,Eq,48309276,48309276,exact repeat,
BIPLS,2019,L2.5,revenue,213466,322362.0,summary-vs-audited,
BIPLS,2019,L5,current_assets,1385195,510765.0,VLM vs parser,
BIPLS,2019,L5,current_liabilities,982676,1082629.0,VLM vs parser,
BIPLS,2021,L2.5,total_assets,2108374.0,108374.0,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
BNL,2018,L5,current_assets,558517109,421099399.0,VLM vs parser,
BNL,2018,L5,current_liabilities,537089601,432859266.582,VLM vs parser,
BNL,2021,L5,current_liabilities,78362,783623236.0,VLM vs parser,
BNWM,2018,L2.5,total_liabilities,650639.0,3332.366,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
BNWM,2019,L2.5,total_assets,3007647,3278.738,summary-vs-audited,
BNWM,2019,L2.5,total_liabilities,1686136,3278.738,summary-vs-audited,
BNWM,2019,L5,current_assets,1063252,1117382.0,VLM vs parser,
BNWM,2019,L5,current_liabilities,1407826,565898.0,VLM vs parser,
BNWM,2019,L5,total_assets,3007647,3278738.0,VLM vs parser,
BNWM,2019,L5,total_liabilities,1686136,677236.0,VLM vs parser,
BOK,2020,L5,net_income,2151783,2152.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
